D,dNdD
8.0871, 4.3544
9.592, 5.8709
10.7311, 7.2372
11.6763, 8.8437
12.471, 10.3153
13.1143, 12.4024
13.6723, 13.9039
14.2089, 15.2102
14.6381, 16.2462
15.1112, 16.6667
15.5628, 16.982
16.0147, 16.967
16.4676, 16.0661
16.9423, 14.9249
17.4611, 12.8228
18.1743, 9.8949
18.9952, 7.1021
20.5267, 3.8288
