D,dNdD
8.1294, 5.0751
9.6124, 6.9069
10.7729, 8.3934
11.6532, 10.3003
12.4262, 11.9369
13.1122, 14.3694
13.6482, 16.1862
14.1416, 17.7027
14.6569, 18.8889
15.0653, 19.3544
15.5812, 19.8348
15.9902, 19.7447
16.4863, 18.7387
16.9612, 17.4024
17.4586, 15.015
18.2157, 11.5615
19.0584, 8.3634
20.5259, 4.6096
